treatment,replicate,leaf,initial.area,final.area,,,,,,,,,
A,1,Cottonwood,87.01486329,64.92645033,,,,,,,,,
A,2,Cottonwood,87.29448886,53.73645548,,,,,,,,,
A,3,Cottonwood,84.44409739,55.418066,,,,,,,,,
A,4,Cottonwood,82.102,54.9475663,,,,,,,,,
A,1,Alder,63.988,45.992,,,,,,,,,
A,2,Alder,70.853,16.039,,,,,,,,,
A,3,Alder,68.602,54.557,,,,,,,,,
A,4,Alder,78.604,40.83,,,,,,,,,
B,1,Cottonwood,79.813,61.801,,,,,,,,,
B,2,Cottonwood,75.887,48.91,,,,,,,,,
B,3,Cottonwood,80.363,75.508,,,,,,,,,
B,4,Cottonwood,85.555,52.093,,,,,,,,,
B,1,Chokecherry,62.598,49.778,,,,,,,,,
B,2,Chokecherry,60.859,8.278,,,,,,,,,
B,3,Chokecherry,45.323,44.417,,,,,,,,,
B,4,Chokecherry,52.693,34.785,,,,,,,,,
C,1,Cottonwood,92.855,85.688,,,,,,,,,
C,2,Cottonwood,99.487,89.079,,,,,,,,,
C,3,Cottonwood,99.12,99.108,,,,,,,,,
C,4,Cottonwood,96.071,77.629,,,,,,,,,
C,1,Dogwood,54.326,53.784,,,,,,,,,
C,2,Dogwood,49.966,29.766,,,,,,,,,
C,3,Dogwood,49.194,47.041,,,,,,,,,
C,4,Dogwood,34.116,26.08,,,,,,,,,
D,1,Cottonwood,77.756,67.753,,,,,,,,,
D,2,Cottonwood,82.645,71.404,,,,,,,,,
D,3,Cottonwood,76.936,64.18,,,,,,,,,
D,4,Cottonwood,95.096,77.155,,,,,,,,,
D,1,Willow,28.721,10.137,,,,,,,,,
D,2,Willow,28.603,7.091,,,,,,,,,
D,3,Willow,23.172,5.37,,,,,,,,,
D,4,Willow,24.152,0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
