conditioning.time,treatment,leaf.type,stonefly.mass.initial,stonefly.mass.final,leaf.area.initial,leaf.area.final,Survival,growth,leaf.area.eaten
7,a,alder,1.0809,1.0008,40.9,56.354,TRUE,-0.0801,0
25,a,alder,0.2577,0.263,39.52,45.08,TRUE,0.0053,0
7,a,cottonwood,1.0809,1.0008,56.6,82.184,TRUE,-0.0801,0
7,a,cottonwood,0.6357,0.55,48.224,50.964,TRUE,-0.0857,0
7,a,alder,0.6357,0.55,46.097,45.075,TRUE,-0.0857,1.022
7,a,cottonwood,0.526,0.5485,141.369,141.778,TRUE,0.0225,0
25,a,cottonwood,0.9462,0.907,79.592,81.1,TRUE,-0.0392,0
7,a,alder,0.526,0.5485,150.319,125.2,TRUE,0.0225,25.119
25,a,alder,0.9462,0.907,74.569,73.25,TRUE,-0.0392,1.319
25,a,cottonwood,0.2577,0.263,96.94,72.05,TRUE,0.0053,24.89
25,a,cottonwood,0.5167,0.5195,60.526,58.273,TRUE,0.0028,2.253
25,a,alder,0.5167,0.5195,74.713,63.409,TRUE,0.0028,11.304
7,b,dogwood,0.9891,1.0339,85.6,44.65,TRUE,0.0448,40.95
7,b,cottonwood,0.1809,0.2948,88.666,75.516,TRUE,0.1139,13.15
7,b,dogwood,0.1809,0.2948,47.661,30.856,TRUE,0.1139,16.805
7,b,cottonwood,0.9891,1.0339,85.75,100.447,TRUE,0.0448,0
7,b,cottonwood,0.2291,0.2343,56.798,59.394,TRUE,0.0052,0
7,b,dogwood,0.2291,0.2343,72.25,152.953,TRUE,0.0052,0
7,b,cottonwood,0.5503,0.5576,107.426,99.769,TRUE,0.0073,7.657
7,b,dogwood,0.5503,0.5576,88.736,77.846,TRUE,0.0073,10.89
25,b,cottonwood,0.4792,0.4391,94.152,62.4,TRUE,-0.0401,31.752
25,b,dogwood,0.4792,0.4391,70.174,36.709,TRUE,-0.0401,33.465
25,b,cottonwood,0.6011,0.5585,127.07,123.19,TRUE,-0.0426,3.88
25,b,dogwood,0.6011,0.5585,76.19,35.83,TRUE,-0.0426,40.36
7,c,cottonwood,1.0351,0.9307,68.208,51.612,TRUE,-0.1044,16.596
7,c,chokecherry,1.0351,0.9307,105.952,49.17,TRUE,-0.1044,56.782
7,c,cottonwood,0.5159,0.458,93.649,78.402,TRUE,-0.0579,15.247
7,c,chokecherry,0.5159,0.458,66.9895,48.016,TRUE,-0.0579,18.9735
7,c,cottonwood,0.45,0.4353,92.968,84.102,TRUE,-0.0147,8.866
7,c,chokecherry,0.45,0.4353,33.788,35.139,TRUE,-0.0147,0
7,c,cottonwood,0.5741,0.5283,125.677,118.057,TRUE,-0.0458,7.62
7,c,chokecherry,0.5741,0.5283,72.838,73.9375,TRUE,-0.0458,0
25,c,chokecherry,0.4881,0.4364,50.746,52.896,TRUE,-0.0517,0
25,c,cottonwood,0.5351,0.4969,79.67,90.15,TRUE,-0.0382,0
25,c,cottonwood,0.3226,0.3203,52,52,TRUE,-0.0023,0
25,c,cottonwood,0.5305,0.4902,63.414,48.196,TRUE,-0.0403,15.218
25,c,chokecherry,0.5305,0.4902,65.422,54.448,TRUE,-0.0403,10.974
25,c,chokecherry,0.5351,0.4969,59.56,52.72,TRUE,-0.0382,6.84
25,c,chokecherry,0.3226,0.3203,34.6,30,TRUE,-0.0023,4.6
25,c,cottonwood,0.4881,0.4364,99.044,76.461,TRUE,-0.0517,22.583
7,d,cottonwood,0.5452,0.4922,80.882,58.592,TRUE,-0.053,22.29
7,d,willow,0.5452,0.4922,56.3965,41.486,TRUE,-0.053,14.9105
7,d,willow,0.5431,0.5376,116.166,88.321,TRUE,-0.0055,27.845
7,d,cottonwood,0.6237,0.5221,59.684,76.185,TRUE,-0.1016,0
7,d,cottonwood,0.5431,0.5376,147.865,176.797,TRUE,-0.0055,0
25,d,cottonwood,0.4984,0.5821,68.385,71.297,TRUE,0.0837,0
7,d,willow,0.6237,0.5221,16.432,24.001,TRUE,-0.1016,0
25,d,cottonwood,0.2473,0.2592,76.34,48.7,TRUE,0.0119,27.64
25,d,willow,0.2473,0.2592,76.4,32,TRUE,0.0119,44.4
25,d,willow,0.4984,0.5821,63.657,80.061,TRUE,0.0837,0
25,d,cottonwood,0.2761,0.2888,42,39,TRUE,0.0127,3
25,d,willow,0.2761,0.2888,75,50,TRUE,0.0127,25
25,d,cottonwood,0.4841,0.4406,66.807,39.417,TRUE,-0.0435,27.39
25,d,willow,0.4841,0.4406,48.732,46.747,TRUE,-0.0435,1.985
7,e,cottonwood,0.3026,0.3145,69.5765,62.423,TRUE,0.0119,7.1535
7,e,cottonwood.stem,0.3026,0.3145,104.6775,91.881,TRUE,0.0119,12.7965
7,e,cottonwood.stem,1.0258,0.989,182.211,147.157,TRUE,-0.0368,35.054
25,e,cottonwood,0.8988,0.84,77.832,68.548,TRUE,-0.0588,9.284
25,e,cottonwood.stem,0.8988,0.84,142.369,128.034,TRUE,-0.0588,14.335
7,e,cottonwood,1.0258,0.989,102.416,116.13,TRUE,-0.0368,0
25,e,cottonwood.stem,0.1346,0.1385,90,70,TRUE,0.0039,20
25,e,cottonwood,0.1346,0.1385,80.3,85,TRUE,0.0039,0
25,e,cottonwood,0.4431,0.4901,58.116,39.046,TRUE,0.047,19.07
25,e,cottonwood.stem,0.4431,0.4901,79.963,85.048,TRUE,0.047,0
