Group,Leaf,Initial,Final,conditioning
1,A-Populus,37.193,30.832,7
1,A-Populus,43.741,34.185,7
1,A-Populus,42.293,6.649,7
1,A-Populus,32.849,30.885,7
1,Alnus,49.442,16.127,7
1,Alnus,59.747,30.58,7
1,Alnus,53.291,0,7
1,Alnus,39.941,15.842,7
2,P-Populus,24.382,0,7
2,P-Populus,41.193,4.187,7
2,P-Populus,31.187,0,7
2,P-Populus,21.175,0,7
2,P. virginiana,26.28197959,0,7
2,P. virginiana,15.046,0,7
2,P. virginiana,19.72602789,0,7
2,P. virginiana,20.94103574,0,7
3,C-Populus,20.333,0,7
3,C-Populus,48.481,0,7
3,C-Populus,25.98,0,7
3,C-Populus,21.818,0,7
3,C. sericea,20.12,0,7
3,C. sericea,33.35,0,7
3,C. sericea,24.062,0,7
3,C. sericea,27.065,0,7
4,S-Populus,39.215,0,7
4,S-Populus,25.329,0,7
4,S-Populus,29.61,0,7
4,S-Populus,37.221,0,7
4,Salix,19.739,0,7
4,Salix,14.289,0,7
4,Salix,12.572,0,7
4,Salix,13.838,0,7
1,A-Populus,87.01486329,64.92645033,25
1,A-Populus,87.29448886,53.73645548,25
1,A-Populus,84.44409739,55.418066,25
1,A-Populus,82.102,54.9475663,25
1,Alnus,63.988,45.992,25
1,Alnus,70.853,16.039,25
1,Alnus,68.602,54.557,25
1,Alnus,78.604,40.83,25
2,P-Populus,79.813,61.801,25
2,P-Populus,75.887,48.91,25
2,P-Populus,80.363,75.508,25
2,P-Populus,85.555,52.093,25
2,P. virginiana,62.598,49.778,25
2,P. virginiana,60.859,8.278,25
2,P. virginiana,45.323,44.417,25
2,P. virginiana,52.693,34.785,25
3,C-Populus,92.855,85.688,25
3,C-Populus,99.487,89.079,25
3,C-Populus,99.12,99.108,25
3,C-Populus,96.071,77.629,25
3,C. sericea,54.326,53.784,25
3,C. sericea,49.966,29.766,25
3,C. sericea,49.194,47.041,25
3,C. sericea,34.116,26.08,25
4,S-Populus,77.756,67.753,25
4,S-Populus,82.645,71.404,25
4,S-Populus,76.936,64.18,25
4,S-Populus,95.096,77.155,25
4,Salix,28.721,10.137,25
4,Salix,28.603,7.091,25
4,Salix,23.172,5.37,25
4,Salix,24.152,0,25
