Day,Treatment,Cottonwood,Other,Nothing,notes,terminated,Conditioning Time
1,C-Alder 1 ,2,I,0,,F,25
1,C-Alder 2 ,1,II,0,,F,25
1,C-Alder 3 ,2,I,0,,F,25
1,C-Alder 4 ,0,III,0,,F,25
1,C-Dog 1 ,2,I,0,,F,25
1,C-Dog 2 ,3,,0,,F,25
1,C-Dog 3 ,1,II,0,,F,25
1,C-Dog 4,0,III,0,,F,25
1,C-Choke 1 ,2,I,0,,F,25
1,C-Choke 2 ,3,,0,,F,25
1,C-Choke 3 ,2,I,0,,F,25
1,C-Choke 4 ,1,II,0,,F,25
1,C-Willow 1 ,3,,0,,F,25
1,C-Willow 2 ,3,,0,,F,25
1,C-Willow 3 ,2,,0,"no third, third added",F,25
1,C-Willow 4 ,3,,0,,F,25
2,C-Alder 1 ,2,I,0,,F,25
2,C-Alder 2 ,0,III,0,,F,25
2,C-Alder 3 ,1,II,0,,F,25
2,C-Alder 4 ,3,,0,,F,25
2,C-Dog 1 ,0,III,0,,F,25
2,C-Dog 2 ,1,II,0,,F,25
2,C-Dog 3 ,2,I,0,,F,25
2,C-Dog 4,2,I,0,,F,25
2,C-Choke 1 ,2,I,0,,F,25
2,C-Choke 2 ,3,,0,,F,25
2,C-Choke 3 ,3,,0,,F,25
2,C-Choke 4 ,3,,0,,F,25
2,C-Willow 1 ,2,I,0,,F,25
2,C-Willow 2 ,2,I,0,,F,25
2,C-Willow 3 ,3,,0,,F,25
2,C-Willow 4 ,3,,0,,F,25
3,C-Alder 1 ,3,,0,,F,25
3,C-Alder 2 ,1,II,0,,F,25
3,C-Alder 3 ,0,III,0,,F,25
3,C-Alder 4 ,1,II,0,,F,25
3,C-Dog 1 ,0,III,0,,F,25
3,C-Dog 2 ,1,II,0,,F,25
3,C-Dog 3 ,2,I,0,,F,25
3,C-Dog 4,3,,0,,F,25
3,C-Choke 1 ,1,II,0,,F,25
3,C-Choke 2 ,3,,0,,F,25
3,C-Choke 3 ,2,I,0,,F,25
3,C-Choke 4 ,3,,0,,F,25
3,C-Willow 1 ,3,,0,,F,25
3,C-Willow 2 ,2,I,0,,F,25
3,C-Willow 3 ,3,,0,,F,25
3,C-Willow 4 ,3,,0,,F,25
4,C-Alder 1 ,1,II,0,,F,25
4,C-Alder 2 ,1,II,0,,F,25
4,C-Alder 3 ,1,II,0,,F,25
4,C-Alder 4 ,3,,0,,F,25
4,C-Dog 1 ,1,II,0,,F,25
4,C-Dog 2 ,2,I,0,,F,25
4,C-Dog 3 ,0,III,0,,F,25
4,C-Dog 4,2,I,0,,F,25
4,C-Choke 1 ,3,,0,,F,25
4,C-Choke 2 ,3,,0,,F,25
4,C-Choke 3 ,3,,0,,F,25
4,C-Choke 4 ,2,I,0,,F,25
4,C-Willow 1 ,3,,0,,F,25
4,C-Willow 2 ,3,,0,,F,25
4,C-Willow 3 ,3,,0,,F,25
4,C-Willow 4 ,3,,0,,F,25
5,C-Alder 1 ,0,III,0,,F,25
5,C-Alder 2 ,3,,0,,F,25
5,C-Alder 3 ,1,II,0,,F,25
5,C-Alder 4 ,1,II,0,,F,25
5,C-Dog 1 ,2,I,0,,F,25
5,C-Dog 2 ,3,,0,,F,25
5,C-Dog 3 ,0,III,0,,F,25
5,C-Dog 4,2,I,0,,F,25
5,C-Choke 1 ,2,I,0,,F,25
5,C-Choke 2 ,3,,0,,F,25
5,C-Choke 3 ,3,,0,,F,25
5,C-Choke 4 ,1,II,0,,F,25
5,C-Willow 1 ,3,,0,,F,25
5,C-Willow 2 ,3,,0,,F,25
5,C-Willow 3 ,3,,0,,F,25
5,C-Willow 4 ,3,,0,,F,25
6,C-Alder 1 ,2,I,0,,F,25
6,C-Alder 2 ,1,II,0,,F,25
6,C-Alder 3 ,1,II,0,,F,25
6,C-Alder 4 ,1,II,0,,F,25
6,C-Dog 1 ,2,I,0,,F,25
6,C-Dog 2 ,2,I,0,,F,25
6,C-Dog 3 ,1,II,0,,F,25
6,C-Dog 4,3,,0,,F,25
6,C-Choke 1 ,3,,0,,F,25
6,C-Choke 2 ,3,,0,,F,25
6,C-Choke 3 ,3,,0,,F,25
6,C-Choke 4 ,2,I,0,,F,25
6,C-Willow 1 ,3,,0,,F,25
6,C-Willow 2 ,3,,0,,F,25
6,C-Willow 3 ,3,,0,,F,25
6,C-Willow 4 ,3,,0,,F,25
7,C-Alder 1 ,3,,0,,F,25
7,C-Alder 2 ,I,II,0,,F,25
7,C-Alder 3 ,I,II,0,,F,25
7,C-Alder 4 ,II,I,0,,F,25
7,C-Dog 1 ,I,II,0,,F,25
7,C-Dog 2 ,III,,0,,F,25
7,C-Dog 3 ,I,II,0,,F,25
7,C-Dog 4,III,,0,,F,25
7,C-Choke 1 ,I,II,0,,F,25
7,C-Choke 2 ,III,,0,,F,25
7,C-Choke 3 ,III,,0,,F,25
7,C-Choke 4 ,III,,0,,F,25
7,C-Willow 1 ,III,,0,,F,25
7,C-Willow 2 ,III,,0,,F,25
7,C-Willow 3 ,III,,0,,F,25
7,C-Willow 4 ,III,,0,all willow gone,T,25
8,C-Alder 1 ,II,I,0,,F,25
8,C-Alder 2 ,III,,0,,F,25
8,C-Alder 3 ,I,II,0,,F,25
8,C-Alder 4 ,I,II,0,,F,25
8,C-Dog 1 ,II,I,0,,F,25
8,C-Dog 2 ,III,,0,,F,25
8,C-Dog 3 ,I,II,0,,F,25
8,C-Dog 4,II,I,0,,F,25
8,C-Choke 1 ,III,,0,,F,25
8,C-Choke 2 ,III,,0,,F,25
8,C-Choke 3 ,III,,0,,F,25
8,C-Choke 4 ,III,,0,,F,25
8,C-Willow 1 ,I,II,0,,F,25
8,C-Willow 2 ,III,,0,,F,25
8,C-Willow 3 ,III,,0,,F,25
8,C-Willow 4 ,III,,0,,T,25
