,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
,Cottonwood,Other,NOTHING,NOTES,Cottonwood,Other,NOTHING,Cottonwood,Other,NOTES,Cottonwood,Other,nothing,NOTES,Cottonwood,Other,Nothing,NOTES,Cottonwood,Other,NOTHING,note,Cottonwood,Other,NOTHING,NOTES,Cottonwood,Other,Nothing,Notes,Cottonwood,Other,nothing,Notes,Cottonwood,Other,nothing,notes
C-Alder 1 ,I,II,,,,III,,,III,,,III,,,,III,,,I,II,,,I,II,,,I,II,,,II,I,,,II,I,,
C-Alder 2 ,II,I,,,II,I,,,III,,I,II,,,II,I,,,,III,,,II,I,,,II,I,,,III,,,,I,II,,
C-Alder 3 ,I,II,,,,III,,I,II,,,III,,,I,II,,,,III,,,I,II,,,I,II,,,I,II,,,,,III,no alder left
C-Alder 4 ,,III,,,,III,,I,II,,II,I,,,,III,,,II,,I,,,III,,,I,II,,,I,II,,,,III,,
C-Dog 1 ,I,II,,,I,II,,III,,,,,III,"Nothing, all foods gone. Terminated experiment",,,,,,,,,,,,,,,,,,,,,,,,
C-Dog 2 ,II,I,,,III,,,III,,,II,I,,,III,,,,III,,,all dogwood gone,,,III,"no food left, experiment terminated",,,,,,,,,,,,
C-Dog 3 ,,III,,,III,,,III,,,III,,,,III,,,all dogwood gone,,,III,almost all food gone,,,III,"no food left, experiment terminated",,,,,,,,,,,,
C-Dog 4,I,II,,,,III,,I,II,all dogwood gone,I,I,I,,,,III,"all food gone, experiment terminated",,,,,,,,,,,,,,,,,,,,
C-Choke 1 ,III,,,all chokecherry gone within one day,II,,I,III,,,III,,,,,,III,"all food gone, experiment terminated",,,,,,,,,,,,,,,,,,,,
C-Choke 2 ,II,,i,,III,,,III,,,III,,,,III,,,almost all chokecherry gone,III,,,all chokecherry gone,III,,,no chokecherry,III,,,no chokecherry,II,,I,,II,,I,
C-Choke 3 ,III,,,all chokecherry gone within one day,III,,,III,,,,,III,almost all food gone,,,III,"all food gone, experiment terminated",,,,,,,,,,,,,,,,,,,,
C-Choke 4 ,II,,I,,III,,,III,,,II,I,,,III,,,almost all chokecherry gone,III,,,,,,III,"no food left, experiment terminated",,,,,,,,,,,,
C-Willow 1 ,III,,,,III,,,III,,,III,,,,III,,,,III,,,all willow gone,III,,,almost all cottonwood gone,,,III,"no food left, experimented terminated",,,,,,,,
C-Willow 2 ,II,I,,,II,I,,III,,,III,,,,III,,,,,,III,"all cottonwood gone, one willow left",,II,I,one willow left,,,III,"no food left, experimented terminated",,,,,,,,
C-Willow 3 ,III,,,,III,,,III,,,III,,,,III,III,,one willow left,,,,all willow gone,III,,,no willow left ,,,III,"no food left, experimented terminated",,,,,,,,
C-Willow 4 ,III,,,,II,I,,III,,,II,I,,,III,,,one willow left,III,,,,III,,,no willow left,III,,,no willow,III,,,,,,III,no food left
