Day,Cup,Cottonwood,Other,NOTHING,NOTES,Terminated
1,C-Alder 1 ,1,2,0,,F
1,C-Alder 2 ,2,1,0,,F
1,C-Alder 3 ,1,2,0,,F
1,C-Alder 4 ,0,3,0,,F
1,C-Dog 1 ,1,2,0,,F
1,C-Dog 2 ,2,1,0,,F
1,C-Dog 3 ,0,3,0,,F
1,C-Dog 4,1,2,0,,F
1,C-Choke 1 ,3,0,0,all chokecherry gone within one day,T
1,C-Choke 2 ,2,0,1,,F
1,C-Choke 3 ,3,0,0,all chokecherry gone within one day,T
1,C-Choke 4 ,2,0,1,,F
1,C-Willow 1 ,3,0,0,,F
1,C-Willow 2 ,2,1,0,,F
1,C-Willow 3 ,3,0,0,,F
1,C-Willow 4 ,3,0,0,,F
2,C-Alder 1 ,0,3,0,,F
2,C-Alder 2 ,2,1,0,,F
2,C-Alder 3 ,0,3,0,,F
2,C-Alder 4 ,0,3,0,,F
2,C-Dog 1 ,1,2,0,,F
2,C-Dog 2 ,3,0,0,,F
2,C-Dog 3 ,3,0,0,,F
2,C-Dog 4,0,3,0,,F
2,C-Choke 1 ,2,0,1,,T
2,C-Choke 2 ,3,0,0,,F
2,C-Choke 3 ,3,0,0,,T
2,C-Choke 4 ,3,0,0,,F
2,C-Willow 1 ,3,0,0,,F
2,C-Willow 2 ,2,1,0,,F
2,C-Willow 3 ,3,0,0,,F
2,C-Willow 4 ,2,1,0,,F
3,C-Alder 1 ,0,3,0,,F
3,C-Alder 2 ,0,3,0,,F
3,C-Alder 3 ,1,2,0,,F
3,C-Alder 4 ,1,2,0,,F
3,C-Dog 1 ,3,0,0,,F
3,C-Dog 2 ,3,0,0,,F
3,C-Dog 3 ,3,0,0,,F
3,C-Dog 4,1,2,0,all dogwood gone,T
3,C-Choke 1 ,3,0,0,,T
3,C-Choke 2 ,3,0,0,,F
3,C-Choke 3 ,3,0,0,,T
3,C-Choke 4 ,3,0,0,,F
3,C-Willow 1 ,3,0,0,,F
3,C-Willow 2 ,3,0,0,,F
3,C-Willow 3 ,3,0,0,,F
3,C-Willow 4 ,3,0,0,,F
4,C-Alder 1 ,0,3,0,,F
4,C-Alder 2 ,1,2,0,,F
4,C-Alder 3 ,0,3,0,,F
4,C-Alder 4 ,2,1,0,,F
4,C-Dog 1 ,0,0,3,"Nothing, all foods gone. Terminated experiment",T
4,C-Dog 2 ,2,1,0,,F
4,C-Dog 3 ,3,0,0,,F
4,C-Dog 4,1,1,1,,T
4,C-Choke 1 ,3,0,0,,T
4,C-Choke 2 ,3,0,0,,F
4,C-Choke 3 ,0,0,3,almost all food gone,T
4,C-Choke 4 ,2,1,0,,F
4,C-Willow 1 ,3,0,0,,F
4,C-Willow 2 ,3,0,0,,F
4,C-Willow 3 ,3,0,0,,F
4,C-Willow 4 ,2,1,0,,F
5,C-Alder 1 ,0,3,0,,F
5,C-Alder 2 ,2,1,0,,F
5,C-Alder 3 ,1,2,0,,F
5,C-Alder 4 ,0,3,0,,F
5,C-Dog 1 ,0,0,0,,T
5,C-Dog 2 ,3,0,0,,F
5,C-Dog 3 ,3,0,0,all dogwood gone,T
5,C-Dog 4,0,0,3,"all food gone, experiment terminated",T
5,C-Choke 1 ,0,0,3,"all food gone, experiment terminated",T
5,C-Choke 2 ,3,0,0,almost all chokecherry gone,F
5,C-Choke 3 ,0,0,3,"all food gone, experiment terminated",T
5,C-Choke 4 ,3,0,0,almost all chokecherry gone,F
5,C-Willow 1 ,3,0,0,,F
5,C-Willow 2 ,3,0,0,,F
5,C-Willow 3 ,0,3,0,one willow left,F
5,C-Willow 4 ,3,0,0,one willow left,F
6,C-Alder 1 ,1,2,0,,F
6,C-Alder 2 ,0,3,0,,F
6,C-Alder 3 ,0,3,0,,F
6,C-Alder 4 ,2,0,1,,F
6,C-Dog 1 ,0,0,0,,T
6,C-Dog 2 ,3,0,0,all dogwood gone,T
6,C-Dog 3 ,0,0,3,almost all food gone,F
6,C-Dog 4,0,0,0,,T
6,C-Choke 1 ,0,0,0,,T
6,C-Choke 2 ,3,0,0,all chokecherry gone,T
6,C-Choke 3 ,0,0,0,,T
6,C-Choke 4 ,3,0,0,,F
6,C-Willow 1 ,3,0,0,all willow gone,T
6,C-Willow 2 ,0,0,3,"all cottonwood gone, one willow left",T
6,C-Willow 3 ,0,0,0,all willow gone,T
6,C-Willow 4 ,3,0,0,,F
7,C-Alder 1 ,1,2,0,,F
7,C-Alder 2 ,2,1,0,,F
7,C-Alder 3 ,1,2,0,,F
7,C-Alder 4 ,0,3,0,,F
7,C-Dog 1 ,0,0,0,,T
7,C-Dog 2 ,0,0,3,"no food left, experiment terminated",T
7,C-Dog 3 ,0,0,3,"no food left, experiment terminated",T
7,C-Dog 4,0,0,0,,T
7,C-Choke 1 ,0,0,0,,T
7,C-Choke 2 ,3,0,0,no chokecherry,T
7,C-Choke 3 ,0,0,0,,T
7,C-Choke 4 ,0,0,3,"no food left, experiment terminated",T
7,C-Willow 1 ,3,0,0,almost all cottonwood gone,T
7,C-Willow 2 ,0,2,1,one willow left,T
7,C-Willow 3 ,3,0,0,no willow left ,T
7,C-Willow 4 ,3,0,0,no willow left,T
8,C-Alder 1 ,1,2,0,,F
8,C-Alder 2 ,2,1,0,,F
8,C-Alder 3 ,1,2,0,,F
8,C-Alder 4 ,1,2,0,,F
8,C-Dog 1 ,0,0,0,,T
8,C-Dog 2 ,0,0,0,,T
8,C-Dog 3 ,0,0,0,,T
8,C-Dog 4,0,0,0,,T
8,C-Choke 1 ,0,0,0,,T
8,C-Choke 2 ,3,0,0,no chokecherry,T
8,C-Choke 3 ,0,0,0,,T
8,C-Choke 4 ,0,0,0,,T
8,C-Willow 1 ,0,0,3,"no food left, experimented terminated",T
8,C-Willow 2 ,0,0,3,"no food left, experimented terminated",T
8,C-Willow 3 ,0,0,3,"no food left, experimented terminated",T
8,C-Willow 4 ,3,0,0,no willow,T
9,C-Alder 1 ,2,1,0,,F
9,C-Alder 2 ,3,0,0,,F
9,C-Alder 3 ,1,2,0,,F
9,C-Alder 4 ,1,2,0,,F
9,C-Dog 1 ,0,0,0,,T
9,C-Dog 2 ,0,0,0,,T
9,C-Dog 3 ,0,0,0,,T
9,C-Dog 4,0,0,0,,T
9,C-Choke 1 ,0,0,0,,T
9,C-Choke 2 ,2,0,1,,T
9,C-Choke 3 ,0,0,0,,T
9,C-Choke 4 ,0,0,0,,T
9,C-Willow 1 ,0,0,0,,T
9,C-Willow 2 ,0,0,0,,T
9,C-Willow 3 ,0,0,0,,T
9,C-Willow 4 ,3,0,0,,T
10,C-Alder 1 ,2,1,0,,F
10,C-Alder 2 ,1,2,0,,F
10,C-Alder 3 ,0,0,3,no alder left,T
10,C-Alder 4 ,0,3,0,,F
10,C-Dog 1 ,0,0,0,,T
10,C-Dog 2 ,0,0,0,,T
10,C-Dog 3 ,0,0,0,,T
10,C-Dog 4,0,0,0,,T
10,C-Choke 1 ,0,0,0,,T
10,C-Choke 2 ,2,0,1,,T
10,C-Choke 3 ,0,0,0,,T
10,C-Choke 4 ,0,0,0,,T
10,C-Willow 1 ,0,0,0,,T
10,C-Willow 2 ,0,0,0,,T
10,C-Willow 3 ,0,0,0,,T
10,C-Willow 4 ,0,0,3,no food left,T
