date,end date,initials,treatment,bucket,replicate,leaf type,mass initial,mass final,growth,leaf area initial,leaf area final,prop eaten,percent area eaten,survival,escape,image.file.name.initial,image.file.name.final
3.3.22,3.17.22,Riley,A,1,1,Contol,0.2351,0.2337,-0.0014,138.702,,1,45,1,,,
3.3.22,3.17.22,Riley,A,1,1,Cottonwood,0.2351,0.2337,-0.0014,186.854,,1,50,1,,,
3.3.22,3.17.22,Riley,B,3,1,Cottonwood,0.0727,0.0844,0.0117,133.659,,1,10,1,,,
3.3.22,3.17.22,Riley,B,3,1,Dogwood,0.0727,0.0844,0.0117,62.976,,1,100,1,,,
3.3.22,3.17.22,Riley,C,3,1,Cottonwood,0.0671,0.0777,0.0106,51.789,,1,35,1,,,
3.3.22,3.17.22,Riley,C,3,1,Willow,0.0671,0.0777,0.0106,78.223,,1,92,1,,,
3.3.22,3.17.22,CB/HN,A,2,2,Control,0.6083,0.629,0.0207,92.989,64.34,0.308090204,30.80902042,1,,,
3.3.22,3.17.22,CB/HN,A,2,2,Cottonwood,0.6083,0.629,0.0207,125.98,112.944,0.103476742,10.34767423,1,,,
3.3.22,3.17.22,CB/HN,B,2,2,Cottonwood,0.2157,0.2295,0.0138,161.286,29.162,0.819190754,81.91907543,1,,,
3.3.22,3.17.22,CB/HN,B,2,2,Dogwood,0.2157,0.2295,0.0138,68.05,32.17,0.527259368,52.72593681,1,,,
3.3.22,3.17.22,CB/HN,C,1,2,Cottonwood,0.232,0.2842,0.0522,127.558,92.762,0.272785713,27.27857132,1,,,
3.3.22,3.17.22,CB/HN,C,1,2,Willow,0.232,0.2842,0.0522,70.217,60.266,0.141717818,14.17178176,1,,,
3.3.22,3.17.22,CB/HN,D,2,1,Cottonwood,0.1418,0.1527,0.0109,123.957,113.752,0.082326936,8.232693595,1,,,
3.3.22,3.17.22,CB/HN,D,2,1,Dogwood,0.1418,0.1527,0.0109,94.625,0,1,100,1,,,
3.3.22,3.17.22,CB/HN,D,2,1,Willow,0.1418,0.1527,0.0109,19.949,0,1,100,1,,,
